# generated 2017-01-13
#t1	t2	logical	text
HP:0002750	HP:0005616	t	f
HP:0003189	HP:0003196	f	t
HP:0009085	HP:0006329	f	t
HP:0025136	HP:0025137	f	t
HP:0003496	HP:0002850	t	t
HP:0012354	HP:0012353	f	t
HP:0030320	HP:0002945	t	f
HP:0012341	HP:0012342	f	t
HP:0012450	HP:0012451	f	t
HP:0008258	HP:0008244	f	t
HP:0006462	HP:0005789	t	f
HP:0000637	HP:0045025	f	t
HP:0011231	HP:0000653	f	t
HP:0008818	HP:0002866	f	t
HP:0009396	HP:0009401	t	t
HP:0002690	HP:0010538	t	t
HP:0012248	HP:0005165	f	t
HP:0006436	HP:0010504	t	f
HP:0012406	HP:0012405	t	t
HP:0004966	HP:0012458	f	t
HP:0001722	HP:0009805	f	t
HP:0003988	HP:0003022	f	t
HP:0007048	HP:0012697	t	t
HP:0011109	HP:0000255	f	t
HP:0009926	HP:0000633	f	t
HP:0002720	HP:0003261	t	f
HP:0012613	HP:0003359	t	t
HP:0004330	HP:0004331	t	t
HP:0100807	HP:0009381	t	f
HP:0012692	HP:0012691	f	t
HP:0002716	HP:0002732	t	t
HP:0012184	HP:0003233	t	t
HP:0100963	HP:0003474	f	t
HP:0010620	HP:0000272	f	t
HP:0012325	HP:0004820	f	t
HP:0009051	HP:0012270	t	t
HP:0002003	HP:0000350	t	t
HP:0100194	HP:0100199	t	t
HP:0100281	HP:0100282	f	t
HP:0000859	HP:0004319	t	t
HP:0030258	HP:0030259	f	t
HP:0100770	HP:0100771	f	t
HP:0000568	HP:0001090	t	f
HP:0010519	HP:0001558	f	t
HP:0001847	HP:0010109	t	t
HP:0030173	HP:0007182	t	t
HP:0004851	HP:0004826	f	t
HP:0040178	HP:0040179	f	t
HP:0000154	HP:0000160	t	t
HP:0005272	HP:0010801	f	t
HP:0030639	HP:0030638	f	t
HP:0010116	HP:0010121	t	t
HP:0010231	HP:0010236	t	t
HP:0002914	HP:0012601	t	t
HP:0010249	HP:0010254	t	t
HP:0100878	HP:0000013	f	t
HP:0009385	HP:0009390	t	t
HP:0000527	HP:0010764	t	t
HP:0001414	HP:0001403	f	t
HP:0005571	HP:0000117	f	t
HP:0000215	HP:0000219	f	t
HP:0001769	HP:0001786	f	t
HP:0004743	HP:0004729	f	t
HP:0100114	HP:0100119	t	t
HP:0100205	HP:0100210	t	t
HP:0005458	HP:0001476	f	t
HP:0000239	HP:0005486	t	t
HP:0001382	HP:0001376	t	t
HP:0001276	HP:0001252	t	f
HP:0100879	HP:0000134	t	f
HP:0000637	HP:0012745	t	t
HP:0004237	HP:0001498	f	t
HP:0000815	HP:0000044	f	t
HP:0200123	HP:0200119	f	t
HP:0012810	HP:0012809	f	t
HP:0001520	HP:0001518	f	t
HP:0011174	HP:0011173	f	t
HP:0006040	HP:0010038	t	f
HP:0012755	HP:0002365	f	t
HP:0012251	HP:0012250	f	t
HP:0005550	HP:0006721	f	t
HP:0000283	HP:0000275	t	t
HP:0010511	HP:0001831	t	t
HP:0007183	HP:0012752	f	t
HP:0001833	HP:0001773	f	t
HP:0030305	HP:0002946	t	f
HP:0004368	HP:0004369	t	t
HP:0025075	HP:0025077	f	t
