# generated 2017-01-13
#t1	t2	logical	text
MP:0009251	MP:0009396	t	t
MP:0000017	MP:0000018	t	t
MP:0009970	MP:0009971	t	t
MP:0004761	MP:0004155	f	t
MP:0013954	MP:0013916	t	t
MP:0002666	MP:0002667	t	t
MP:0001751	MP:0002773	t	t
MP:0010286	MP:0010284	t	t
MP:0009523	MP:0009522	t	t
MP:0009401	MP:0009402	t	t
MP:0009304	MP:0009305	t	t
MP:0012570	MP:0012568	f	t
MP:0009631	MP:0009632	t	t
MP:0011951	MP:0011952	f	t
MP:0012261	MP:0012502	t	t
MP:0020113	MP:0020114	f	t
MP:0009425	MP:0009426	t	t
MP:0000346	MP:0003742	t	t
MP:0003958	MP:0000287	t	t
MP:0020125	MP:0020126	f	t
MP:0009788	MP:0009789	f	t
MP:0006375	MP:0006376	t	t
MP:0008687	MP:0008688	t	t
MP:0003548	MP:0003549	f	t
MP:0020116	MP:0020117	t	t
MP:0008566	MP:0008567	t	t
MP:0020128	MP:0020129	f	t
MP:0008675	MP:0008676	t	t
MP:0008502	MP:0008498	f	t
MP:0003512	MP:0003513	t	t
MP:0020008	MP:0020007	t	t
MP:0008663	MP:0008664	t	t
MP:0011964	MP:0011965	f	t
MP:0008651	MP:0008652	t	t
MP:0014145	MP:0014146	t	t
MP:0003960	MP:0003961	f	t
MP:0012607	MP:0012605	t	t
MP:0014024	MP:0014025	f	t
MP:0003973	MP:0003972	f	t
MP:0020068	MP:0020070	f	t
MP:0000630	MP:0003344	t	t
MP:0004832	MP:0001127	t	t
MP:0011369	MP:0011375	t	t
MP:0008771	MP:0004704	f	t
MP:0014121	MP:0014122	f	t
MP:0003401	MP:0012062	t	t
MP:0002021	MP:0002053	f	t
MP:0003489	MP:0003490	f	t
MP:0012449	MP:0012450	t	t
MP:0004478	MP:0012340	f	t
MP:0008445	MP:0008446	t	t
MP:0004407	MP:0004408	t	t
MP:0000464	MP:0000461	t	t
MP:0013298	MP:0013299	f	t
MP:0011083	MP:0011084	f	t
MP:0010457	MP:0010557	f	t
MP:0010935	MP:0010936	f	t
MP:0010838	MP:0010839	t	t
MP:0003337	MP:0005492	f	t
MP:0003233	MP:0003900	f	t
MP:0012702	MP:0012703	f	t
MP:0002574	MP:0002757	t	t
MP:0002411	MP:0002412	t	t
MP:0005165	MP:0005166	t	t
MP:0003031	MP:0003028	t	f
MP:0003030	MP:0003029	t	f
MP:0010540	MP:0001407	t	t
MP:0009531	MP:0009532	f	t
MP:0011009	MP:0011010	t	t
MP:0011711	MP:0011710	t	f
MP:0013396	MP:0013395	t	t
MP:0012571	MP:0012569	f	t
MP:0008524	MP:0008124	t	t
MP:0013372	MP:0013371	t	t
MP:0020237	MP:0020238	t	t
MP:0013401	MP:0009096	t	t
MP:0001409	MP:0003908	t	t
MP:0008228	MP:0008226	t	t
MP:0002997	MP:0001157	t	t
